timestamp,shift,process,machine,batch_id,product_type,temperature,vibration,speed,pressure,defect
2024-06-03,B,Assembly,AssemLineB,B39,P1,71.95,0.61,1037.96,105.19,OK
2024-06-03,B,Welding,WeldUnitB,B22,P3,72.51,0.65,898.13,111.99,Incomplete fusion
2024-06-03,A,Coating,CoatBooth1,B71,P3,61.65,0.8,690.99,102.72,OK
2024-06-03,C,Coating,CoatBooth2,B82,P5,80.31,0.36,1260.57,76.01,OK
2024-06-03,A,Packaging,PackLine1,B25,P4,63.44,0.32,1309.63,119.63,OK
2024-06-03,C,Casting,CastLine2,B98,P4,73.93,0.39,1255.86,116.21,OK
2024-06-03,C,Machining,CNC2,B33,P2,79.84,0.53,1180.62,101.36,OK
2024-06-03,B,Welding,WeldUnitA,B11,P4,59.92,0.37,901.5,92.91,OK
2024-06-03,A,Welding,WeldUnitA,B47,P2,63.04,0.42,1113.87,87.7,OK
2024-06-03,C,Drilling,DrillX1,B76,P4,73.61,0.02,777.38,107.58,OK
2024-06-03,C,Drilling,DrillX2,B28,P2,76.37,0.23,1108.15,107.05,OK
2024-06-03,B,Drilling,DrillX2,B6,P2,83.91,0.7,897.42,120.43,OK
2024-06-03,C,Casting,CastLine1,B37,P3,86.56,0.32,1533.26,92.7,OK
2024-06-03,C,Casting,CastLine1,B69,P3,82.32,0.66,1154.41,81.82,OK
2024-06-03,B,Drilling,DrillX2,B53,P2,52.71,0.33,891.67,106.6,OK
2024-06-03,B,Machining,CNC2,B74,P4,92.96,0.4,1399.4,102.01,OK
2024-06-03,A,Packaging,PackLine1,B46,P5,79.79,0.65,837.29,115.45,OK
2024-06-03,C,Packaging,PackLine2,B3,P3,77.02,0.55,823.84,101.73,OK
2024-06-03,A,Packaging,PackLine1,B83,P3,62.19,0.46,1007.59,117.98,Seal failure
2024-06-03,C,Drilling,DrillX1,B18,P4,90.3,0.58,814.52,100.8,OK
2024-06-03,A,Assembly,AssemLineB,B69,P5,71.64,0.3,921.58,94.09,Loose joints
2024-06-03,B,Coating,CoatBooth2,B90,P3,71.94,0.68,1098.15,95.32,OK
2024-06-04,B,Packaging,PackLine1,B42,P5,67.72,0.57,1040.84,82.57,Seal failure
2024-06-04,B,Coating,CoatBooth2,B48,P1,83.63,0.3,1025.93,95.21,OK
2024-06-04,C,Casting,CastLine2,B34,P2,83.74,0.42,1089.14,73.73,OK
2024-06-04,C,Welding,WeldUnitB,B20,P3,74.6,0.57,1015.07,81.43,OK
2024-06-04,B,Packaging,PackLine2,B36,P5,71.78,0.48,871.81,100.75,OK
2024-06-04,C,Machining,CNC1,B80,P3,56.53,0.71,1299.7,84.22,Chatter marks
2024-06-04,B,Welding,WeldUnitA,B8,P5,78.72,0.7,1015.68,103.16,Cracks
2024-06-04,C,Assembly,AssemLineA,B100,P1,76.02,0.56,825.15,101.15,OK
2024-06-04,C,Machining,CNC1,B80,P3,87.9,0.47,862.17,106.72,OK
2024-06-04,A,Casting,CastLine1,B24,P4,67.43,0.08,965.02,88.73,OK
2024-06-04,C,Assembly,AssemLineA,B87,P5,70.25,0.75,1123.39,92.92,OK
2024-06-04,C,Packaging,PackLine2,B59,P3,73.67,0.53,1300.69,94.36,Seal failure
2024-06-04,A,Casting,CastLine1,B38,P3,52.59,0.55,1195.78,131.79,OK
2024-06-04,B,Machining,CNC1,B70,P4,66.99,0.25,1261.47,87.27,OK
2024-06-04,C,Welding,WeldUnitA,B10,P3,87.39,0.27,866.44,92.86,OK
2024-06-04,B,Drilling,DrillX1,B33,P3,57.04,0.26,1469.78,116.24,OK
2024-06-04,A,Welding,WeldUnitA,B53,P4,93.44,0.55,879.02,98.8,OK
2024-06-04,A,Welding,WeldUnitA,B10,P4,82.98,0.68,904.53,112.67,OK
2024-06-04,B,Coating,CoatBooth2,B19,P4,60.98,0.86,683.84,106.47,OK
2024-06-04,B,Casting,CastLine2,B63,P2,62.1,0.51,893.79,124.26,OK
2024-06-04,C,Assembly,AssemLineB,B94,P3,73.46,0.51,1247.22,62.93,Misfits
2024-06-04,C,Coating,CoatBooth2,B50,P1,74.95,0.47,648.24,110.27,OK
2024-06-04,A,Assembly,AssemLineA,B67,P4,74.85,0.41,850.58,112.9,OK
2024-06-04,B,Machining,CNC1,B49,P2,74.77,0.6,1028.8,83.81,OK
2024-06-04,B,Coating,CoatBooth1,B74,P2,75.4,0.59,979.39,87.74,Uneven coating
2024-06-04,C,Welding,WeldUnitA,B66,P5,74.18,0.33,1101.71,103.11,OK
2024-06-04,B,Drilling,DrillX1,B59,P2,83.69,0.7,960.95,108.2,OK
2024-06-05,B,Packaging,PackLine1,B29,P1,81.98,0.66,1113.08,124.07,OK
2024-06-05,A,Coating,CoatBooth1,B81,P4,68.23,0.96,1238.88,143.31,OK
2024-06-05,C,Casting,CastLine1,B9,P4,71.07,0.57,1161.5,113.53,OK
2024-06-05,A,Assembly,AssemLineB,B42,P4,74.98,0.43,1307.7,100.5,OK
2024-06-05,C,Machining,CNC1,B7,P2,75.08,0.14,1475.2,83.41,OK
2024-06-05,B,Casting,CastLine2,B87,P5,74.98,0.8,821.69,101.8,OK
2024-06-05,B,Packaging,PackLine2,B57,P1,79.58,0.45,1176.56,91.88,OK
2024-06-05,B,Assembly,AssemLineB,B14,P1,78.78,0.75,991.6,99.57,OK
2024-06-05,C,Machining,CNC1,B87,P5,80.33,0.04,738.08,83.79,OK
2024-06-05,B,Coating,CoatBooth1,B82,P2,73.1,0.33,1257.21,102.71,OK
2024-06-05,C,Assembly,AssemLineB,B65,P1,81.2,0.45,941.09,102.99,OK
2024-06-05,C,Coating,CoatBooth1,B57,P2,70.31,0.8,1248.85,92.67,OK
2024-06-05,B,Assembly,AssemLineB,B79,P3,86.13,0.64,759.74,81.66,OK
2024-06-05,C,Packaging,PackLine1,B81,P5,98.12,0.18,1022.42,106.84,OK
2024-06-05,C,Casting,CastLine2,B92,P4,78.1,0.53,1109.7,102.24,OK
2024-06-05,C,Drilling,DrillX1,B34,P2,77.3,0.44,1147.41,83.66,OK
2024-06-05,C,Assembly,AssemLineB,B100,P2,62.94,0.4,709.59,97.19,OK
2024-06-05,C,Assembly,AssemLineB,B61,P1,78.63,0.42,887.0,91.35,OK
2024-06-05,B,Machining,CNC2,B13,P4,97.3,0.35,1369.29,95.45,OK
2024-06-05,C,Packaging,PackLine1,B59,P2,68.22,0.49,1062.56,101.17,OK
2024-06-06,C,Welding,WeldUnitB,B53,P4,66.9,0.75,1388.68,95.22,OK
2024-06-06,C,Drilling,DrillX1,B55,P3,66.26,0.51,878.11,106.86,OK
2024-06-06,A,Drilling,DrillX2,B12,P3,78.5,0.81,953.61,97.22,OK
2024-06-06,A,Packaging,PackLine2,B12,P5,76.95,0.74,956.08,108.32,OK
2024-06-06,B,Casting,CastLine2,B11,P2,78.3,0.03,1031.35,89.57,OK
2024-06-06,C,Assembly,AssemLineB,B18,P2,73.9,0.59,1123.51,70.56,OK
2024-06-06,A,Coating,CoatBooth1,B82,P4,69.49,0.62,1394.51,79.95,OK
2024-06-06,C,Coating,CoatBooth2,B72,P1,97.97,0.72,991.06,108.08,Uneven coating
2024-06-06,B,Assembly,AssemLineA,B31,P1,76.4,0.36,822.55,101.64,OK
2024-06-06,C,Machining,CNC1,B97,P3,67.11,0.66,1056.79,101.18,OK
2024-06-06,C,Assembly,AssemLineA,B66,P1,76.31,0.38,813.19,99.09,OK
2024-06-06,A,Machining,CNC1,B58,P1,75.78,0.34,966.51,87.63,OK
2024-06-06,C,Assembly,AssemLineA,B26,P4,73.03,0.35,1175.89,114.06,OK
2024-06-06,C,Welding,WeldUnitB,B39,P5,72.48,0.63,873.38,72.36,OK
2024-06-06,B,Machining,CNC1,B74,P5,70.33,0.75,1021.02,101.84,Excessive burrs
2024-06-06,C,Machining,CNC1,B32,P1,73.32,0.24,651.92,120.94,Chatter marks
2024-06-06,A,Assembly,AssemLineA,B73,P3,80.92,0.56,1058.95,104.82,OK
2024-06-06,A,Drilling,DrillX1,B19,P3,71.18,0.59,1170.53,99.75,OK
2024-06-06,B,Welding,WeldUnitA,B36,P2,63.85,0.72,1093.34,104.07,OK
2024-06-06,C,Packaging,PackLine2,B34,P5,73.24,0.34,1386.78,80.97,OK
2024-06-06,B,Drilling,DrillX1,B61,P4,67.61,0.96,788.36,97.74,OK
2024-06-07,B,Assembly,AssemLineB,B19,P3,84.26,0.58,826.1,80.78,OK
2024-06-07,A,Machining,CNC1,B25,P3,80.0,0.13,744.03,98.97,OK
2024-06-07,C,Welding,WeldUnitB,B22,P4,62.64,0.43,1351.56,125.11,OK
2024-06-07,C,Drilling,DrillX1,B78,P3,66.75,0.75,466.34,53.43,OK
2024-06-07,C,Welding,WeldUnitA,B71,P2,44.16,0.39,1098.62,100.74,OK
2024-06-07,B,Casting,CastLine1,B67,P3,83.04,0.42,1149.89,110.48,OK
2024-06-07,A,Coating,CoatBooth1,B26,P1,72.68,0.59,1228.73,115.46,OK
2024-06-07,A,Assembly,AssemLineB,B57,P4,71.62,0.63,1206.15,102.8,OK
2024-06-07,B,Packaging,PackLine1,B57,P5,65.19,0.83,929.68,100.54,OK
2024-06-07,A,Assembly,AssemLineB,B91,P5,63.57,0.52,1133.31,121.49,OK
2024-06-07,B,Assembly,AssemLineA,B64,P2,87.96,0.74,1136.89,89.55,OK
2024-06-07,C,Coating,CoatBooth1,B97,P4,92.15,0.67,813.13,99.93,Paint chipping
2024-06-07,A,Casting,CastLine2,B25,P5,74.9,0.41,987.2,78.89,Shrinkage
2024-06-07,A,Casting,CastLine2,B52,P3,63.66,0.44,1259.63,128.54,OK
2024-06-07,B,Machining,CNC1,B98,P5,73.55,0.66,1102.46,107.53,OK
2024-06-07,C,Welding,WeldUnitB,B35,P1,75.13,0.46,973.89,68.76,OK
2024-06-07,B,Casting,CastLine2,B40,P2,89.6,0.7,973.18,89.41,OK
2024-06-07,B,Packaging,PackLine1,B20,P2,85.12,0.57,1163.87,108.28,Seal failure
2024-06-07,B,Packaging,PackLine1,B98,P4,87.4,0.63,1041.49,89.22,OK
2024-06-07,C,Machining,CNC1,B47,P3,55.24,0.66,994.42,105.62,Excessive burrs
2024-06-07,C,Drilling,DrillX1,B15,P1,70.94,0.27,902.82,93.66,OK
2024-06-07,B,Machining,CNC1,B8,P3,62.81,0.41,988.7,131.64,OK
2024-06-07,B,Coating,CoatBooth2,B12,P4,64.28,0.47,706.95,102.47,OK
2024-06-07,C,Coating,CoatBooth1,B98,P1,64.03,0.44,986.45,74.81,OK
2024-06-07,B,Packaging,PackLine2,B14,P4,98.21,0.82,1068.12,101.76,OK
2024-06-07,B,Assembly,AssemLineA,B72,P3,91.34,0.7,963.01,102.07,OK
2024-06-07,C,Casting,CastLine2,B85,P5,73.68,0.34,1104.07,121.21,OK
2024-06-07,A,Machining,CNC2,B23,P2,92.42,0.75,1051.21,88.7,OK
2024-06-07,A,Welding,WeldUnitA,B96,P1,75.86,0.5,766.81,115.45,OK
2024-06-07,C,Drilling,DrillX1,B93,P2,86.42,0.84,1091.16,72.68,OK
2024-06-08,C,Machining,CNC1,B91,P2,67.7,0.56,1311.09,147.97,OK
2024-06-08,B,Packaging,PackLine2,B5,P2,68.45,0.08,883.18,106.0,OK
2024-06-08,A,Packaging,PackLine2,B37,P5,68.64,0.34,762.85,76.46,OK
2024-06-08,A,Coating,CoatBooth2,B42,P1,58.74,0.73,855.89,96.27,OK
2024-06-08,B,Welding,WeldUnitA,B55,P4,75.9,0.25,867.75,121.36,OK
2024-06-08,C,Packaging,PackLine2,B55,P3,74.27,0.09,1296.83,107.79,OK
2024-06-08,A,Drilling,DrillX2,B31,P2,82.67,0.31,1285.37,89.9,OK
2024-06-08,A,Packaging,PackLine2,B1,P2,71.21,0.58,1035.09,106.99,OK
2024-06-08,A,Casting,CastLine2,B76,P4,78.55,0.79,1152.02,86.65,OK
2024-06-08,A,Drilling,DrillX1,B58,P1,80.42,0.6,915.23,70.3,OK
2024-06-08,A,Packaging,PackLine2,B86,P4,75.38,0.3,1061.41,112.17,OK
2024-06-08,A,Casting,CastLine2,B26,P1,86.13,0.61,873.13,78.04,OK
2024-06-08,C,Packaging,PackLine1,B2,P2,79.38,0.84,882.4,89.42,OK
2024-06-08,A,Machining,CNC1,B73,P2,69.0,0.48,793.42,121.78,Excessive burrs
2024-06-08,B,Drilling,DrillX2,B7,P2,64.74,0.52,1324.14,125.74,OK
2024-06-08,A,Drilling,DrillX2,B66,P3,82.55,0.71,1213.71,84.99,OK
2024-06-08,A,Casting,CastLine2,B71,P5,82.68,0.63,1191.35,111.49,OK
2024-06-08,A,Casting,CastLine2,B35,P3,69.51,0.15,1032.16,75.51,OK
2024-06-08,B,Drilling,DrillX1,B63,P1,86.78,0.3,1050.31,103.86,Misaligned holes
2024-06-08,C,Packaging,PackLine1,B93,P3,75.1,0.7,503.55,85.46,OK
2024-06-08,C,Casting,CastLine2,B48,P4,80.71,-0.01,1001.01,136.79,OK
2024-06-08,C,Casting,CastLine2,B37,P5,59.5,0.82,728.98,84.17,OK
2024-06-08,A,Machining,CNC1,B41,P5,62.7,0.46,1011.08,97.45,OK
2024-06-08,A,Assembly,AssemLineB,B79,P3,66.37,0.55,628.04,82.9,OK
2024-06-08,A,Coating,CoatBooth1,B95,P3,79.73,0.64,739.05,67.11,OK
2024-06-08,A,Welding,WeldUnitB,B21,P2,77.38,0.41,678.85,125.05,Weld joint failure
2024-06-08,C,Packaging,PackLine2,B31,P3,73.79,0.38,1149.52,104.96,OK
2024-06-08,B,Packaging,PackLine1,B97,P2,84.9,0.26,828.99,97.85,OK
2024-06-08,C,Machining,CNC1,B57,P4,72.12,0.49,1218.63,105.58,OK
2024-06-09,C,Coating,CoatBooth2,B21,P3,63.05,0.68,1291.56,84.14,OK
2024-06-09,A,Casting,CastLine1,B67,P2,58.34,0.46,655.77,53.09,OK
2024-06-09,B,Coating,CoatBooth2,B33,P2,67.54,0.29,965.66,92.99,OK
2024-06-09,C,Welding,WeldUnitA,B5,P5,60.07,0.78,595.48,107.2,OK
2024-06-09,B,Casting,CastLine2,B67,P5,77.01,0.02,1422.23,88.84,OK
2024-06-09,B,Coating,CoatBooth2,B13,P1,69.01,0.47,1064.74,84.07,Uneven coating
2024-06-09,C,Casting,CastLine2,B89,P2,93.18,0.4,1033.74,117.41,OK
2024-06-09,C,Welding,WeldUnitA,B63,P2,75.7,0.19,992.72,90.46,OK
2024-06-09,B,Assembly,AssemLineB,B45,P4,73.76,0.76,694.77,91.03,OK
2024-06-09,A,Welding,WeldUnitA,B44,P5,66.33,0.62,706.73,115.83,OK
2024-06-09,A,Casting,CastLine1,B89,P2,87.27,0.41,870.95,105.69,OK
2024-06-09,B,Assembly,AssemLineB,B70,P4,71.89,0.41,1481.65,92.38,OK
2024-06-09,B,Assembly,AssemLineA,B98,P1,75.53,0.57,891.17,118.3,OK
2024-06-09,C,Drilling,DrillX2,B75,P4,61.29,0.3,1031.19,115.14,OK
2024-06-09,B,Packaging,PackLine2,B77,P1,85.62,0.64,575.7,94.86,OK
2024-06-09,B,Machining,CNC1,B93,P4,66.34,0.73,832.5,81.86,OK
2024-06-09,C,Casting,CastLine2,B88,P3,63.64,0.56,1117.6,94.03,OK
2024-06-09,A,Packaging,PackLine1,B74,P4,80.49,0.38,1009.44,77.89,OK
2024-06-09,A,Machining,CNC2,B12,P3,79.71,0.36,677.67,97.67,OK
2024-06-09,B,Assembly,AssemLineA,B86,P1,58.76,0.69,912.76,124.54,OK
2024-06-09,C,Packaging,PackLine2,B5,P4,67.33,0.62,635.38,104.93,OK
2024-06-09,C,Assembly,AssemLineB,B8,P1,92.97,0.55,923.46,109.09,OK
2024-06-09,C,Welding,WeldUnitB,B27,P5,74.05,0.56,802.93,123.51,OK
2024-06-09,B,Assembly,AssemLineA,B79,P5,88.12,-0.22,955.57,103.29,OK
2024-06-09,C,Casting,CastLine2,B26,P4,65.2,0.41,942.62,79.4,OK
2024-06-09,A,Drilling,DrillX2,B39,P1,77.96,0.49,1033.57,121.39,OK
2024-06-09,C,Welding,WeldUnitA,B91,P3,87.97,0.57,847.85,73.48,OK
2024-06-10,A,Casting,CastLine2,B56,P2,83.73,0.24,997.86,81.02,OK
2024-06-10,B,Casting,CastLine1,B37,P5,72.83,0.88,1389.65,96.25,OK
2024-06-10,A,Welding,WeldUnitA,B27,P1,69.18,0.64,923.27,94.83,OK
2024-06-10,A,Assembly,AssemLineB,B29,P5,76.11,0.64,1198.44,90.8,OK
2024-06-10,A,Machining,CNC2,B97,P5,67.94,0.41,963.06,92.42,OK
2024-06-10,B,Drilling,DrillX1,B71,P3,96.81,0.62,688.06,102.48,OK
2024-06-10,B,Machining,CNC1,B33,P5,82.23,0.77,1027.6,86.55,OK
2024-06-10,B,Assembly,AssemLineA,B19,P2,69.4,0.6,1069.17,87.5,OK
2024-06-10,C,Drilling,DrillX1,B36,P4,77.29,0.4,1306.41,89.78,Misaligned holes
2024-06-10,C,Drilling,DrillX1,B71,P1,65.42,0.39,914.24,100.37,OK
2024-06-10,C,Assembly,AssemLineB,B92,P5,73.46,0.4,952.25,124.97,OK
2024-06-10,B,Machining,CNC2,B77,P3,92.03,0.49,1031.9,95.08,OK
2024-06-10,B,Coating,CoatBooth1,B66,P4,69.9,0.63,675.03,126.04,OK
2024-06-10,C,Packaging,PackLine1,B62,P4,94.42,0.52,1160.49,102.72,OK
2024-06-10,B,Machining,CNC1,B31,P5,78.62,0.55,1039.56,82.17,Excessive burrs
2024-06-10,A,Welding,WeldUnitA,B87,P3,68.1,0.08,879.99,115.44,Cracks
2024-06-10,C,Packaging,PackLine1,B69,P1,83.51,0.39,811.29,107.11,OK
2024-06-10,C,Casting,CastLine2,B19,P3,68.66,0.66,1075.78,88.7,OK
2024-06-10,A,Coating,CoatBooth1,B62,P1,44.1,0.19,1069.24,100.29,OK
2024-06-10,A,Packaging,PackLine1,B11,P3,73.57,0.57,1062.39,99.66,OK
2024-06-10,B,Coating,CoatBooth1,B76,P1,64.55,0.53,968.4,94.7,Paint chipping
2024-06-10,B,Coating,CoatBooth1,B47,P2,61.21,0.61,1249.93,106.25,OK
2024-06-10,B,Coating,CoatBooth2,B3,P3,84.07,0.72,901.86,99.7,OK
2024-06-10,B,Welding,WeldUnitA,B69,P4,84.44,0.14,844.95,102.44,OK
2024-06-10,B,Machining,CNC2,B33,P4,82.86,0.72,1005.87,87.37,OK
2024-06-10,C,Casting,CastLine2,B51,P2,80.09,0.56,783.28,92.66,OK
2024-06-10,A,Machining,CNC2,B69,P5,81.41,0.29,867.87,99.01,OK
2024-06-11,A,Casting,CastLine2,B91,P5,64.67,0.77,1323.77,87.78,OK
2024-06-11,B,Assembly,AssemLineB,B37,P1,81.71,0.29,978.67,118.6,OK
2024-06-11,A,Drilling,DrillX2,B44,P1,77.13,0.81,926.4,83.31,OK
2024-06-11,A,Drilling,DrillX2,B45,P1,77.52,0.73,1066.79,82.36,OK
2024-06-11,A,Assembly,AssemLineA,B40,P3,75.31,0.51,995.74,96.43,OK
2024-06-11,A,Packaging,PackLine1,B57,P2,74.92,0.43,1059.84,102.18,OK
2024-06-11,A,Welding,WeldUnitB,B14,P1,61.66,0.55,772.04,82.71,Cracks
2024-06-11,A,Casting,CastLine2,B32,P1,64.31,0.39,993.1,111.84,OK
2024-06-11,B,Coating,CoatBooth2,B46,P5,80.81,0.64,754.9,80.78,Uneven coating
2024-06-11,A,Casting,CastLine1,B98,P4,88.16,0.6,883.4,87.9,Porosity
2024-06-11,A,Drilling,DrillX1,B34,P2,80.02,0.38,1296.64,81.01,OK
2024-06-11,C,Machining,CNC2,B84,P4,72.67,0.43,1170.52,110.94,OK
2024-06-11,B,Machining,CNC2,B40,P3,63.09,0.4,883.63,106.77,OK
2024-06-11,C,Assembly,AssemLineB,B48,P2,89.47,0.58,1362.82,87.3,OK
2024-06-11,C,Assembly,AssemLineB,B73,P2,79.48,0.77,1223.24,81.57,Misfits
2024-06-11,B,Welding,WeldUnitA,B98,P1,68.91,0.75,1224.94,91.58,Incomplete fusion
2024-06-11,C,Coating,CoatBooth2,B49,P1,82.94,0.18,930.92,100.36,OK
2024-06-11,C,Casting,CastLine1,B31,P3,80.81,0.37,808.92,108.5,OK
2024-06-11,C,Drilling,DrillX1,B69,P1,97.54,0.23,894.1,115.24,OK
2024-06-11,B,Welding,WeldUnitA,B59,P1,53.78,0.56,685.68,95.31,OK
2024-06-11,A,Casting,CastLine1,B55,P5,69.62,0.39,920.05,93.09,OK
2024-06-11,B,Packaging,PackLine2,B87,P2,69.34,0.42,1184.0,106.86,Seal failure
2024-06-11,A,Drilling,DrillX2,B88,P5,79.82,0.87,1027.04,86.41,OK
2024-06-11,A,Casting,CastLine1,B29,P4,65.37,0.55,1084.41,99.06,OK
2024-06-12,C,Machining,CNC1,B93,P2,81.19,0.54,807.01,106.32,OK
2024-06-12,C,Welding,WeldUnitB,B64,P4,78.78,0.36,924.31,83.15,OK
2024-06-12,C,Assembly,AssemLineA,B13,P4,55.56,0.68,1102.68,96.34,OK
2024-06-12,C,Assembly,AssemLineB,B17,P4,82.28,0.52,906.93,106.54,Loose joints
2024-06-12,B,Coating,CoatBooth1,B73,P5,64.66,0.2,1010.23,104.96,Uneven coating
2024-06-12,B,Assembly,AssemLineB,B56,P1,74.49,0.74,811.95,85.35,OK
2024-06-12,C,Welding,WeldUnitB,B78,P5,76.38,0.35,1157.45,96.83,OK
2024-06-12,C,Welding,WeldUnitB,B97,P2,64.29,0.52,959.09,103.2,Incomplete fusion
2024-06-12,A,Machining,CNC1,B77,P3,76.75,0.38,1243.0,93.03,OK
2024-06-12,A,Welding,WeldUnitB,B45,P3,84.37,0.46,1029.21,118.83,OK
2024-06-12,A,Coating,CoatBooth2,B68,P2,75.22,0.12,1202.3,83.26,OK
2024-06-12,A,Machining,CNC1,B42,P4,67.37,0.52,956.96,111.8,Chatter marks
2024-06-12,A,Casting,CastLine1,B39,P4,72.22,0.72,1282.4,85.82,OK
2024-06-12,B,Machining,CNC1,B34,P4,77.82,0.34,1088.3,99.31,OK
2024-06-12,B,Welding,WeldUnitB,B94,P3,83.9,0.77,902.13,137.58,OK
2024-06-12,C,Packaging,PackLine2,B64,P3,66.42,0.57,825.65,101.06,Seal failure
2024-06-12,A,Coating,CoatBooth2,B66,P4,81.75,0.37,907.66,106.29,OK
